gene_id,24C,24N,27C,27N,29C,29N,30C,30N,31C,31N,32C,32N,33C,33N,34C,34N,35c,35N,36C,36N,37C,37N,38C,38N,39C,39N,41C,41N,42C,42N,43C,43N,46C,46N,47C,47N,49C,49N,50C,50N,51C,51N,53C,53N
ENSG00000020577,669,379,348,253,430,63,410,530,337,1096,209,677,794,524,227,1267,369,2214,83,433,322,236,115,468,322,982,515,937,199,259,522,658,471,1616,772,1818,572,299,154,3685,249,821,403,284
ENSG00000020633,206,479,336,443,1168,92,827,302,309,265,405,293,435,479,606,358,180,158,382,479,303,270,141,483,338,213,221,550,200,120,46,241,286,384,169,616,391,290,102,944,457,450,663,252
ENSG00000020922,2562,1047,871,668,3026,478,1411,829,3263,1076,1961,808,761,300,1446,656,1608,807,1605,674,2529,774,677,583,1474,215,2007,657,1622,280,1340,586,3257,960,3806,659,2328,832,1092,561,752,680,2502,437
ENSG00000021300,4457,283,1995,426,2423,585,358,275,435,920,1342,480,669,268,1818,230,909,1020,894,270,868,260,1408,218,207,345,1293,331,3661,154,4749,455,551,1003,4831,250,4762,330,1064,175,455,453,1445,170
ENSG00000021355,10537,12377,11726,15981,24714,13647,8181,11359,10329,8139,10287,14283,25932,44742,19689,12939,8402,8286,8587,4855,7849,7909,8994,13481,11117,31058,21640,10354,13581,25533,17594,11931,13179,7194,8732,16139,13807,12008,6988,8579,16488,11809,8569,6887
ENSG00000021461,52,15,0,3,5,0,0,0,6,1,1,0,0,1,6,1,0,0,9,0,5,0,6,0,2,0,0,0,0,1,0,0,0,0,6,0,4,5,0,0,0,0,0,1
ENSG00000021488,7,18,146,7,5,48,0,199,2,2,3,4,20,1,0,73,1,6,7,1,5,7,1,1,1,0,23,27,11,0,5,2,9,8,0,6,15,14,1,2,2,229,33,5
ENSG00000021574,1899,1298,925,924,1587,721,878,1385,1369,972,1428,1483,1106,1034,1997,941,1197,768,1241,901,2063,937,753,1159,1619,574,1784,1184,1618,996,1681,873,2280,1038,2305,1353,2237,874,1453,609,1248,965,1588,801
ENSG00000021645,83,89,46,51,56,10,85,27,45,359,706,314,156,46,140,603,1293,765,12,79,36,46,21,37,820,109,25,267,370,25,6,131,1420,443,19,246,265,153,67,115,33,271,59,63
ENSG00000021762,1042,950,1189,1657,1363,643,1388,1411,2398,1453,1478,1599,1628,1488,2152,1042,464,1512,775,819,647,630,617,1522,418,545,1405,1044,671,1282,1918,1022,1622,1442,1199,1359,734,1048,692,802,1021,2110,1985,673
ENSG00000021776,3086,3033,2464,2630,3339,1835,2764,2997,2537,2796,3788,3223,3038,1836,3255,2093,3512,2396,1828,2078,2450,2538,955,2386,3421,1533,3259,2075,3949,2047,3442,2063,4537,2787,3489,1967,2763,2613,2268,1023,3288,2520,4677,1628
ENSG00000021826,16,32,467,15,982,0,8,6,18,23,8,8,12,1,81,6,12,52,28,6,3,20,96,13,2,17,148,26,23,6,541,12,5,70,8,35,28,25,220,74,371,43,14,8
ENSG00000021852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000022267,531,1553,1530,2113,1874,1478,329,869,384,9631,1102,5317,3456,2329,744,7779,372,26185,393,2131,422,1273,548,2088,561,5041,1739,5447,852,1934,384,6308,985,15505,160,25648,1144,4033,263,28657,1160,7453,673,1053
ENSG00000022277,5885,3420,4938,2960,2995,4801,3011,3607,7389,3187,4788,3937,3322,3118,4636,2946,3375,3474,6035,2373,13446,2513,5977,3083,4189,2127,9144,3087,4234,2546,3090,2211,5367,3363,11773,4561,13920,2487,3741,2819,2659,3330,7335,2242
ENSG00000022355,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ENSG00000022556,1030,209,188,248,94,121,8,261,63,187,199,745,568,383,17,154,3,415,89,104,1,67,2,587,6,237,90,81,14,412,473,781,1,27,10,118,50,188,951,68,5,0,31,257
